"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"15.11.2020","2.145,0","2.020,0","2.159,0","2.020,0","8,01M","7,25%"
"08.11.2020","2.000,0","1.870,0","2.025,0","1.870,0","55,42M","9,11%"
"01.11.2020","1.833,0","1.795,0","1.893,0","1.795,0","27,81M","2,35%"
"25.10.2020","1.791,0","1.851,0","1.851,0","1.615,0","58,85M","-3,71%"
"18.10.2020","1.860,0","1.871,0","1.916,0","1.837,0","34,59M","-1,06%"
"11.10.2020","1.880,0","1.920,0","1.920,0","1.839,0","27,32M","-2,99%"
"04.10.2020","1.938,0","1.933,0","1.972,0","1.866,0","31,50M","1,47%"
"27.09.2020","1.910,0","1.950,0","1.985,0","1.835,0","44,89M","-0,52%"
"20.09.2020","1.920,0","2.060,0","2.065,0","1.910,0","80,32M","-9,22%"
"13.09.2020","2.115,0","2.030,0","2.115,0","1.995,0","65,92M","4,44%"
"06.09.2020","2.025,0","2.130,0","2.155,0","2.005,0","36,87M","-5,59%"
"30.08.2020","2.145,0","2.190,0","2.210,0","2.125,0","64,17M","-1,38%"
"23.08.2020","2.175,0","2.185,0","2.270,0","2.150,0","39,52M","-0,23%"
"16.08.2020","2.180,0","2.180,0","2.220,0","2.140,0","38,49M","-0,91%"
"09.08.2020","2.200,0","2.190,0","2.225,0","2.165,0","16,96M","1,38%"
"02.08.2020","2.170,0","2.150,0","2.260,0","2.100,0","40,34M","4,33%"
"26.07.2020","2.080,0","2.200,0","2.265,0","2.080,0","47,62M","-6,31%"
"19.07.2020","2.220,0","2.190,0","2.260,0","2.185,0","17,91M","0,00%"
"12.07.2020","2.220,0","2.085,0","2.230,0","2.065,0","37,57M","6,73%"
"05.07.2020","2.080,0","2.110,0","2.130,0","2.020,0","43,97M","-0,95%"
"28.06.2020","2.100,0","2.105,0","2.120,0","2.050,0","13,02M","1,45%"
"21.06.2020","2.070,0","2.145,0","2.180,0","2.035,0","22,60M","-3,27%"
"14.06.2020","2.140,0","2.190,0","2.260,0","2.105,0","54,86M","0,71%"
"07.06.2020","2.125,0","2.350,0","2.430,0","2.060,0","46,79M","-9,38%"
"31.05.2020","2.345,0","1.945,0","2.345,0","1.945,0","65,16M","17,84%"
"24.05.2020","1.990,0","2.005,0","2.030,0","1.920,0","50,67M","1,02%"
"17.05.2020","1.970,0","1.990,0","2.075,0","1.935,0","28,92M","2,07%"
"10.05.2020","1.930,0","2.050,0","2.085,0","1.855,0","32,98M","-5,39%"
"03.05.2020","2.040,0","2.000,0","2.085,0","1.900,0","54,42M","-2,39%"
"26.04.2020","2.090,0","1.860,0","2.175,0","1.850,0","45,22M","9,42%"
"19.04.2020","1.910,0","1.940,0","2.135,0","1.750,0","55,50M","-2,05%"
"12.04.2020","1.950,0","2.380,0","2.400,0","1.910,0","61,82M","-17,37%"
"05.04.2020","2.360,0","2.270,0","2.385,0","2.180,0","31,62M","3,96%"
"29.03.2020","2.270,0","1.800,0","2.270,0","1.700,0","59,86M","22,04%"
"22.03.2020","1.860,0","1.480,0","2.010,0","1.480,0","50,34M","25,25%"
"15.03.2020","1.485,0","1.855,0","1.960,0","1.300,0","70,25M","-23,45%"
"08.03.2020","1.940,0","2.950,0","2.950,0","1.905,0","65,56M","-34,57%"
"01.03.2020","2.965,0","3.140,0","3.195,0","2.950,0","60,93M","-4,51%"
"23.02.2020","3.105,0","3.375,0","3.375,0","3.000,0","85,55M","-9,34%"
"16.02.2020","3.425,0","3.325,0","3.495,0","3.315,0","36,56M","3,01%"
"09.02.2020","3.325,0","3.200,0","3.395,0","3.195,0","30,50M","3,42%"
"02.02.2020","3.215,0","3.160,0","3.235,0","3.120,0","31,53M","1,10%"
"26.01.2020","3.180,0","3.285,0","3.285,0","3.140,0","63,58M","-3,34%"
"19.01.2020","3.290,0","3.375,0","3.385,0","3.285,0","20,73M","-2,81%"
"12.01.2020","3.385,0","3.400,0","3.435,0","3.370,0","35,39M","-0,44%"
"05.01.2020","3.400,0","3.390,0","3.410,0","3.300,0","32,51M","0,59%"
"29.12.2019","3.380,0","3.340,0","3.380,0","3.295,0","10,65M","1,20%"
"22.12.2019","3.340,0","3.300,0","3.370,0","3.300,0","6,06M","0,60%"
"15.12.2019","3.320,0","3.330,0","3.345,0","3.230,0","35,54M","-0,15%"
"08.12.2019","3.325,0","3.290,0","3.340,0","3.245,0","20,40M","0,76%"
"01.12.2019","3.300,0","3.250,0","3.340,0","3.175,0","36,23M","0,30%"
"24.11.2019","3.290,0","3.140,0","3.290,0","3.120,0","46,71M","3,79%"
"17.11.2019","3.170,0","3.115,0","3.170,0","3.070,0","19,36M","0,79%"
"10.11.2019","3.145,0","3.160,0","3.190,0","3.035,0","25,84M","0,48%"
"03.11.2019","3.130,0","3.095,0","3.180,0","3.095,0","28,37M","1,29%"
"27.10.2019","3.090,0","3.050,0","3.090,0","3.010,0","31,23M","1,48%"
"20.10.2019","3.045,0","2.910,0","3.050,0","2.875,0","28,01M","4,46%"
"13.10.2019","2.915,0","2.990,0","3.020,0","2.910,0","26,39M","-2,67%"
"06.10.2019","2.995,0","2.955,0","3.015,0","2.895,0","16,36M","1,87%"
"29.09.2019","2.940,0","2.960,0","2.985,0","2.870,0","30,42M","-1,67%"
"22.09.2019","2.990,0","2.995,0","3.010,0","2.910,0","27,81M","-0,66%"
"15.09.2019","3.010,0","2.970,0","3.050,0","2.965,0","82,42M","3,79%"
"08.09.2019","2.900,0","2.840,0","2.960,0","2.840,0","56,45M","2,47%"
"01.09.2019","2.830,0","2.715,0","2.830,0","2.655,0","29,21M","3,28%"
"25.08.2019","2.740,0","2.630,0","2.740,0","2.630,0","46,81M","4,78%"
"18.08.2019","2.615,0","2.765,0","2.795,0","2.615,0","37,70M","-4,91%"
"11.08.2019","2.750,0","2.835,0","2.865,0","2.690,0","45,30M","-3,00%"
"04.08.2019","2.835,0","2.900,0","2.900,0","2.790,0","32,81M","-2,24%"
"28.07.2019","2.900,0","2.975,0","2.995,0","2.900,0","49,14M","-2,68%"
"21.07.2019","2.980,0","3.010,0","3.045,0","2.980,0","43,40M","-1,00%"
"14.07.2019","3.010,0","3.065,0","3.080,0","2.935,0","47,06M","-1,95%"
"07.07.2019","3.070,0","3.015,0","3.110,0","2.975,0","31,80M","1,66%"
"30.06.2019","3.020,0","2.920,0","3.020,0","2.895,0","17,77M","3,42%"
"23.06.2019","2.920,0","3.000,0","3.030,0","2.920,0","14,18M","-3,31%"
"16.06.2019","3.020,0","2.775,0","3.030,0","2.775,0","62,40M","8,24%"
"09.06.2019","2.790,0","2.870,0","2.890,0","2.725,0","30,93M","-2,96%"
"02.06.2019","2.875,0","2.785,0","2.875,0","2.740,0","25,57M","3,98%"
"26.05.2019","2.765,0","2.960,0","2.980,0","2.740,0","52,19M","-7,83%"
"19.05.2019","3.000,0","3.070,0","3.105,0","2.925,0","35,02M","-2,28%"
"12.05.2019","3.070,0","3.050,0","3.120,0","2.985,0","44,89M","0,00%"
"05.05.2019","3.070,0","2.900,0","3.075,0","2.880,0","55,31M","4,96%"
"28.04.2019","2.925,0","3.005,0","3.050,0","2.880,0","29,65M","-2,66%"
"21.04.2019","3.005,0","3.040,0","3.125,0","3.000,0","47,50M","-0,83%"
"14.04.2019","3.030,0","3.260,0","3.295,0","3.030,0","20,70M","-7,48%"
"07.04.2019","3.275,0","3.370,0","3.425,0","3.260,0","46,23M","-2,53%"
"31.03.2019","3.360,0","3.460,0","3.465,0","3.350,0","42,48M","-1,61%"
"24.03.2019","3.415,0","3.460,0","3.525,0","3.345,0","40,41M","-0,44%"
